src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_rejected,ssl_version,ssl_cipher,http_method,http_uri,http_version,label,type
192.168.1.193,49739,192.168.1.33,80,tcp,-,1.8e-05,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49401,192.168.1.37,8080,tcp,-,0.000138,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49663,192.168.1.33,80,tcp,-,2.2e-05,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49345,192.168.1.37,8080,tcp,-,9e-06,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49875,192.168.1.37,8080,tcp,-,0.000142,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49787,192.168.1.33,80,tcp,-,0.000156,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49753,192.168.1.33,80,tcp,-,3e-06,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49439,192.168.1.37,8080,tcp,-,0.000162,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,50111,192.168.1.33,80,tcp,-,0.000138,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49642,192.168.1.33,80,tcp,-,0.000132,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49457,192.168.1.33,80,tcp,-,0.000188,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49634,192.168.1.33,80,tcp,-,9.3e-05,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49976,192.168.1.33,80,tcp,-,0.000117,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49966,192.168.1.33,80,tcp,-,1.8e-05,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49824,192.168.1.33,80,tcp,-,0.000107,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49524,192.168.1.33,80,tcp,-,9.4e-05,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,50098,192.168.1.33,80,tcp,-,0.000195,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49988,192.168.1.33,80,tcp,-,0.000153,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49643,192.168.1.37,8080,tcp,-,1.8e-05,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49234,192.168.1.37,8080,tcp,-,0.000167,0,0,REJ,0,1,52,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49711,192.168.1.37,8080,tcp,-,0.000195,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49618,192.168.1.37,8080,tcp,-,9.2e-05,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,50084,192.168.1.33,80,tcp,-,0.000155,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,50028,192.168.1.37,8080,tcp,-,8.3e-05,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49680,192.168.1.33,80,tcp,-,0.003878,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49973,192.168.1.33,80,tcp,-,0.000109,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49956,192.168.1.33,80,tcp,-,0.000225,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49719,192.168.1.33,80,tcp,-,8.1e-05,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,50085,192.168.1.33,80,tcp,-,0.000164,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49461,192.168.1.33,80,tcp,-,0.00017,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49472,192.168.1.37,8080,tcp,-,0.000101,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,50040,192.168.1.37,8080,tcp,-,8.7e-05,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49984,192.168.1.33,80,tcp,-,0.000109,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49826,192.168.1.37,8080,tcp,-,0.000205,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49769,192.168.1.37,8080,tcp,-,0.007918,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49808,192.168.1.33,80,tcp,-,0.000563,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49873,192.168.1.33,80,tcp,-,0.000185,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
192.168.1.193,49453,192.168.1.37,8080,tcp,-,0.000172,0,0,REJ,0,1,48,1,40,-,-,-,-,-,-,-,1,backdoor
